id,na,large,instrument_f
1,11,0,0
1,19,1,0
1,14,1,0
1,19,0,0
1,10,0,0
1,13,0,0
1,11,0,0
1,13,0,0
1,10,0,0
1,10,0,0
1,10,0,0
1,10,0,0
1,10,0,0
2,19,0,0
2,17,1,0
2,12,0,0
2,13,0,0
2,19,0,0
2,16,0,0
2,14,0,0
2,12,0,0
2,11,0,0
2,10,0,0
2,12,0,0
2,13,0,0
2,12,0,0
2,13,0,0
3,14,0,0
3,10,0,0
3,20,0,0
3,10,0,0
3,10,0,0
3,17,0,0
3,15,0,0
3,12,0,0
3,15,0,0
3,13,0,0
3,16,0,0
3,16,0,0
3,11,0,0
3,13,0,0
3,12,1,0
5,18,0,1
5,22,0,1
5,14,0,1
5,13,0,1
5,14,0,1
5,15,0,1
5,15,0,1
5,16,0,1
5,23,0,1
5,20,0,1
5,20,1,1
5,26,0,1
6,21,0,0
6,12,0,0
6,15,1,0
6,11,1,0
6,10,1,0
6,11,1,0
6,18,0,0
6,11,0,0
6,10,0,0
6,12,0,0
6,13,0,0
6,15,0,0
6,10,0,0
6,11,0,0
6,10,0,0
7,20,0,1
7,18,1,1
7,26,1,1
7,22,0,1
7,12,1,1
7,11,1,1
7,14,1,1
7,13,0,1
7,27,1,1
7,24,0,1
7,19,0,1
7,13,1,1
7,19,1,1
7,10,1,1
7,14,1,1
8,20,0,1
8,21,1,1
8,15,1,1
8,17,0,1
8,18,0,1
8,14,1,1
8,13,1,1
8,19,1,1
8,13,1,1
8,18,0,1
8,12,0,1
8,15,0,1
8,19,0,1
8,10,0,1
9,12,0,1
9,14,1,1
9,14,1,1
9,28,0,1
9,23,1,1
9,20,1,1
9,18,1,1
9,15,1,1
9,22,1,1
9,16,0,1
9,13,0,1
9,13,0,1
9,28,0,1
9,11,0,1
9,16,0,1
10,14,0,0
10,14,0,0
10,12,0,0
10,11,1,0
10,13,0,0
10,15,1,0
10,13,1,0
10,16,0,0
10,15,1,0
10,12,1,0
10,17,0,0
10,15,0,0
10,16,0,0
10,11,0,0
10,15,0,0
12,23,0,1
12,17,0,1
12,25,0,1
12,26,0,1
12,12,0,1
12,29,0,1
12,18,0,1
12,16,0,1
12,12,0,1
12,15,1,1
12,13,1,1
12,13,0,1
12,16,1,1
13,19,0,1
13,11,0,1
13,12,0,1
13,15,1,1
13,11,1,1
13,10,1,1
13,12,1,1
13,12,0,1
13,11,0,1
13,11,0,1
13,18,0,1
13,18,0,1
13,15,0,1
13,17,0,1
13,13,0,1
15,18,0,0
15,28,0,0
15,24,0,0
15,11,0,0
15,28,0,0
15,14,1,0
15,13,1,0
15,10,1,0
15,12,1,0
15,14,0,0
15,11,0,0
15,13,0,0
15,11,0,0
15,16,0,0
15,10,0,0
16,19,1,0
16,15,1,0
16,16,1,0
16,12,1,0
16,25,0,0
16,20,0,0
17,20,1,1
17,18,0,1
17,15,1,1
17,11,1,1
17,21,1,1
17,19,0,1
17,18,0,1
17,13,0,1
17,25,0,1
17,28,0,1
17,27,1,1
17,15,1,1
17,29,1,1
17,18,1,1
17,25,1,1
18,15,0,1
18,11,1,1
18,13,1,1
18,12,1,1
18,10,1,1
18,10,0,1
18,10,0,1
18,16,0,1
18,19,0,1
18,12,0,1
18,15,1,1
18,13,1,1
18,11,1,1
18,11,1,1
18,12,1,1
19,15,0,0
19,12,1,0
19,13,0,0
19,10,0,0
19,10,0,0
19,11,0,0
19,13,0,0
19,10,0,0
19,16,0,0
19,12,0,0
19,12,0,0
19,13,0,0
19,11,0,0
19,12,0,0
19,10,0,0
20,21,0,0
20,16,0,0
21,12,0,1
21,17,0,1
21,22,1,1
21,13,1,1
21,11,0,1
21,12,1,1
21,13,1,1
21,16,0,1
21,27,0,1
21,18,0,1
21,26,0,1
21,10,0,1
21,15,0,1
21,19,0,1
21,13,1,1
22,24,0,1
22,21,1,1
22,14,1,1
22,15,1,1
22,10,1,1
22,24,0,1
22,24,0,1
22,16,0,1
22,34,0,1
22,22,1,1
22,19,1,1
22,18,1,1
22,12,1,1
22,19,1,1
22,25,0,1
24,18,1,0
24,11,1,0
24,13,1,0
24,17,1,0
24,18,0,0
24,20,1,0
24,19,1,0
24,14,1,0
24,19,0,0
24,20,0,0
24,23,1,0
24,18,1,0
24,13,0,0
24,18,0,0
24,23,0,0
25,24,0,1
25,10,1,1
25,10,1,1
25,10,1,1
25,11,1,1
25,11,0,1
25,23,0,1
25,19,0,1
25,25,0,1
25,10,1,1
25,14,0,1
25,15,0,1
25,11,1,1
25,19,0,1
25,14,0,1
27,19,1,0
27,20,0,0
27,22,1,0
27,26,1,0
27,28,1,0
27,12,1,0
27,25,1,0
27,20,1,0
27,15,1,0
27,15,1,0
27,13,1,0
27,16,1,0
27,11,1,0
27,10,1,0
27,13,1,0
28,15,0,0
28,35,0,0
28,13,0,0
28,17,0,0
28,16,0,0
28,20,0,0
28,11,0,0
28,21,0,0
28,14,0,0
28,16,0,0
28,13,0,0
28,10,0,0
28,14,0,0
28,17,0,0
28,16,0,0
29,31,0,0
29,18,0,0
29,21,0,0
29,16,1,0
29,12,0,0
29,10,0,0
29,11,0,0
29,10,0,0
29,12,1,0
29,16,0,0
29,18,0,0
29,24,0,0
29,12,0,0
29,14,1,0
29,29,0,0
30,19,0,1
30,16,0,1
30,13,0,1
30,15,0,1
30,15,0,1
30,15,0,1
30,14,0,1
30,13,0,1
30,13,0,1
30,18,0,1
30,11,0,1
30,12,0,1
30,17,0,1
30,13,1,1
32,32,0,1
32,35,0,1
32,24,0,1
32,25,0,1
32,22,0,1
32,17,0,1
32,21,0,1
32,28,0,1
32,24,1,1
32,22,1,1
32,14,0,1
32,21,0,1
32,22,0,1
32,15,0,1
32,21,0,1
33,23,0,1
33,17,0,1
33,22,0,1
33,20,0,1
33,15,0,1
33,15,0,1
34,21,0,0
34,12,0,0
34,20,0,0
34,20,1,0
34,10,0,0
34,30,0,0
34,10,0,0
34,11,0,0
34,13,0,0
34,10,0,0
34,20,0,0
34,17,0,0
34,13,0,0
34,16,0,0
34,18,0,0
35,19,0,1
35,11,0,1
35,13,0,1
35,30,0,1
35,10,1,1
35,12,0,1
35,30,0,1
35,12,0,1
35,25,1,1
35,17,1,1
35,19,0,1
35,20,0,1
35,15,1,1
35,19,0,1
35,19,0,1
36,20,0,1
36,12,1,1
36,12,1,1
36,11,0,1
36,12,0,1
36,22,0,1
36,18,0,1
36,10,1,1
36,16,0,1
36,10,0,1
36,13,0,1
36,10,1,1
36,12,0,1
36,12,1,1
36,20,1,1
37,17,0,0
37,13,0,0
37,19,0,0
37,13,0,0
37,15,0,0
37,11,0,0
37,11,0,0
37,17,0,0
37,31,0,0
37,18,0,0
37,21,0,0
37,18,0,0
37,12,0,0
37,15,0,0
37,11,1,0
38,13,0,0
38,17,0,0
38,13,0,0
38,19,0,0
38,13,0,0
38,15,0,0
38,14,0,0
38,11,0,0
38,17,0,0
38,19,1,0
38,16,0,0
38,14,0,0
38,15,0,0
38,14,0,0
38,15,0,0
39,16,0,0
39,22,0,0
39,19,0,0
39,25,0,0
39,21,0,0
39,23,0,0
39,13,0,0
39,19,0,0
39,27,0,0
39,18,0,0
39,15,0,0
39,19,0,0
39,22,0,0
39,23,0,0
39,13,0,0
40,15,0,0
40,17,0,0
40,12,0,0
40,19,0,0
40,21,0,0
40,10,0,0
40,19,0,0
40,11,0,0
40,29,0,0
40,24,0,0
40,27,0,0
40,18,0,0
40,21,0,0
40,26,0,0
40,29,0,0
41,14,0,1
41,16,0,1
41,13,0,1
41,23,0,1
41,10,0,1
41,11,0,1
41,11,0,1
41,10,0,1
41,14,0,1
41,15,0,1
41,11,0,1
42,14,0,0
42,13,0,0
42,18,1,0
42,14,1,0
42,14,1,0
42,12,0,0
42,15,0,0
42,35,0,0
42,11,0,0
42,12,0,0
42,11,0,0
42,18,0,0
42,10,0,0
43,19,0,0
43,13,0,0
43,19,0,0
43,11,0,0
